Food Item,Price_KG (₹/kg),Protein (g),Fiber (g),Calories,Category,Price_HalfKG (₹/kg)
Cucumber,40,0.7,0.5,16,Vegetable,20
Cauliflower,70,1.9,2,25,Vegetable,35
Bell Pepper,100,1,2.1,31,Vegetable,50
Apple,120,0.3,2.4,52,Fruit,60
Banana,60,1.3,2.6,89,Fruit,30
Pomegranate,180,1.7,4,83,Fruit,90
Milk,60,3.4,0,42,Dairy,30
Cheese,500,25,0,402,Dairy,250
Paneer,400,18,0,296,Dairy,200
Green Peas,90,5.5,4.1,89,Vegetable,45
Papaya,71,0.5,1.8,37,Fruit,35.5
Orange,84,0.9,2.4,58,Fruit,42
Kidney Beans,130,8,6.4,161,Legumes,65
Strawberry,247,0.8,1.9,33,Fruit,123.5
Onion,45,1,1.7,39,Vegetable,22.5
Fish (Salmon),830,22.5,0,217,Other,415
Tomato,35,0.9,1.2,19,Vegetable,17.5
Black Beans,158,9.1,9.1,125,Legumes,79
Soybeans,180,38.2,8.5,390,Legumes,90
Chickpeas,135,18.8,16.3,313,Legumes,67.5
Guava,75,2.5,5.2,78,Fruit,37.5
Yogurt,85,10.4,0,54,Dairy,42.5
Lentils,137,8.8,7.2,103,Legumes,68.5
Mango,77,0.9,1.6,61,Fruit,38.5
Almonds,818,19.7,11.6,514,Nuts,409
Blueberry,345,0.7,2.2,52,Fruit,172.5
Chia Seeds,600,17,34,486,Seeds,300
Salmon,1200,20,0,208,Animal Protein,600
Kale,90,3,4,35,Vegetable,45
Honey,400,0.3,0.2,304,Sweeteners,200
Beef,350,26,0,250,Meat,175
Turkey,300,29,0,189,Meat,150
Tuna,900,23,0,132,Fish,450
Sweet Corn,80,3.4,2.5,86,Vegetable,40
Greek Yogurt,200,10,0,59,Dairy,100
Cottage Cheese,300,11,0,98,Dairy,150
Almond Butter,600,21,12,614,Nuts,300
Pumpkin Seeds,450,19,18,559,Seeds,225
Flax Seeds,500,18,27,534,Seeds,250
Sunflower Seeds,400,21,11,584,Seeds,200
Hazelnuts,850,15,10,628,Nuts,425
Walnuts,750,15,7,654,Nuts,375
Cashews,700,18,3,553,Nuts,350
Pistachios,900,20,10,562,Nuts,450
Mixed Nuts,400,20,10,600,Nuts,200
Brown Rice,80,2.6,1.8,111,Grains,40
Oats,150,2.4,2.5,168,Grains,75
Barley,100,2.3,3.8,123,Grains,50
Quinoa,350,14,7,368,Grains,175
Eggs,120,13,0,155,Animal Protein,60
Chicken Breast,250,31,0,165,Animal Protein,125
Tofu,180,15,3,76,Plant Protein,90
Tempeh,200,19,6,193,Plant Protein,100
Mushrooms,70,3,1,22,Vegetable,35
Avocado,200,2,6,160,Fruit,100
Apples,120,0.3,2.4,52,Fruit,60
Green Beans,60,2,4,35,Vegetable,30
Broccoli,80,2.8,2.6,34,Vegetable,40
Carrot,45,0.9,2.8,41,Vegetable,22.5
Spinach,50,2.9,2.2,23,Vegetable,25
Sweet Potato,60,1.6,3,86,Vegetable,30
